Materia,iddomanda,domanda,risposta1,risposta2,risposta3,risposta4,risposta_corretta
FISIOLOGIA,NTFI16,Riguardo il ciclo cardiaco si può sostenere che: (DOPPIA MA CON RISP DIVERSE),Dal ventricolo sinistro il sangue ricco di anidride carbonica si dirige verso i polmoni,Dal ventricolo destro il sangue ricco di anidride carbonica si dirige verso il corpo intero,Dal ventricolo sinistro il sangue ricco di ossigeno si dirige verso i polmoni,Dal ventricolo destro il sangue ricco di anidride carbonica si dirige verso i polmoni.,Dal ventricolo destro il sangue ricco di anidride carbonica si dirige verso i polmoni.
FISIOLOGIA,NTFI17,Riguardo il ciclo cardiaco si può sostenere che: (DOPPIA MA CON RISP DIVERSE),La piccola circolazione viene anche chiamata circolazione sistemica,La grande circolazione viene anche chiamata circolazione polmonare,La circolazione polmonare viene anche chiamata piccola circolazione,La circolazione è una sola e viene chiamata circolazione sistemica.,La circolazione polmonare viene anche chiamata piccola circolazione
IDROCOLONTERAPIA,NTID1,Cos'è il misuratore termostatico?,Uno strumento atto a misurare la temperatura,Uno strumento per misurare la pressione,Uno strumento per la variazione di campo elettromagnetico,Uno strumento per misurare l'acidità di un liquido,Uno strumento atto a misurare la temperatura
IDROCOLONTERAPIA,NTID2,Cos'è la Disbiosi?,È un disequilibrio del microbiota,È un equilibrio del microbiota,È l'aumento della pressione arteriosa,È una disfunzione sanguigna,È un disequilibrio del microbiota
IDROCOLONTERAPIA,NTID3,Dopo una seduta di Idrocolonterapia il paziente deve,Rispettare almeno 5 ore di riposo e digiuno,Può condurre una vita sociale normale,Deve stare solo a digiuno,Non può bere acqua per 5 ore,Può condurre una vita sociale normale
IDROCOLONTERAPIA,NTID4,Durante un trattamento di Idrocolonterapia l'acqua deve uscire una pressione di circa,1 bar,Diecimila etto Pascal,3 bar,Nessuna delle precedenti,1 bar
IDROCOLONTERAPIA,NTID5,È meno invasivo la pratica dell'Idrocolonterapia o un clistere?,È meno invasivo il clistere,È meno invasiva l'Idrocolonterapia,È la stessa cosa,È meno invasivo il clistere perché si usa poca acqua,È meno invasiva l'Idrocolonterapia
IDROCOLONTERAPIA,NTID6,In caso di rettocolite ulcerosa è consigliabile effettuare un ciclo di prestazioni di Idrocolonterapia?,Si,No,Si ma solo se un paziente ha i referti ematici nella norma,Si ma solo se il sanguinamento non è eccessivo,No
IDROCOLONTERAPIA,NTID7,In quale ora del giorno può essere praticata una prestazione di Idrocolonterapia?,Solo di Mattina e a digiuno,Solo di mattina,A qualsiasi ora del giorno ma necessariamente a digiuno,A qualsiasi ora del giorno,A qualsiasi ora del giorno ma necessariamente a digiuno
IDROCOLONTERAPIA,NTID8,L'Idrocolonterapia e utile per la cura delle infezioni all'apparato escretore?,Si,No,Solo se non sono presenti infezioni,Solo negli uomini ma non nelle donne,Si
IDROCOLONTERAPIA,NTID9,La temperatura dell'acqua di quanti gradi deve essere durante il trattamento di Idrocolonterapia?,Circa 18 gradi Celsius,Non più di 28 gradi Celsius,Circa 38 gradi Celsius,Non più di 48 gradi Celsius,Circa 38 gradi Celsius
IDROCOLONTERAPIA,NTID10,Nella Scala di Bristol a quale Tipo appartiene il materiale fecale con forma di salsiccia o serpente liscia e morbida?,Tipo 1,Tipo 4,Tipo 5,Tipo 7,Tipo 4
IDROCOLONTERAPIA,NTID11,Nella Scala di Bristol a quale Tipo appartiene il materiale fecale simile alla forma di salsiccia grumosa?,Tipo 1,Tipo 2,Tipo 3,Tipo 6,Tipo 2
IDROCOLONTERAPIA,NTID12,Nella Scala di Bristol a quale Tipo appartiene il materiale fecale con grumi morbidi ben definiti?,Tipo 1,Tipo 3,Tipo 5,Tipo 7,Tipo 5
IDROCOLONTERAPIA,NTID13,Nella Scala di Bristol a quale Tipo appartiene il materiale fecale con pezzi lanuginosi con bordi frastagliati e feci pastose?,Tipo 1,Tipo 3,Tipo 5,Tipo 6,Tipo 6
IDROCOLONTERAPIA,NTID14,Oltre all'acqua possibile miscelare un farmaco nella pratica dell'Idrocolonterapia?,Si ma solo se il farmaco è antibiotico,Si ma solo se il farmaco è antinfiammatorio,Si in simbiosi con antibiotici e antinfiammatori,Nessuna delle tre risposte,Nessuna delle tre risposte
IDROCOLONTERAPIA,NTID15,Per la preparazione all'Idrocolonterapia si usa,Magnesio Pidolato,Magnesio Gluconato,Magnesio Aspartato,Magnesio Citrato,Magnesio Citrato
IDROCOLONTERAPIA,NTID16,Quali sono i benefici dell'Idrocolonterapia?,Potenziamento del sistema immunitario,Potenziamento della massa muscolare,Potenziamento dell'udito,Potenziamento della vista,Potenziamento del sistema immunitario
IDROCOLONTERAPIA,NTID17,Quanti litri di acqua si somministrano durante una prestazione di Idrocolonterapia di circa 45 minuti?,Circa 5 (Cinque) litri,Circa 10 (Dieci) litri,Circa 40 (Quaranta) litri,Circa 80 (Ottanta) litri,Circa 40 (Quaranta) litri
IDROCOLONTERAPIA,NTID18,Se un paziente soffre di emorroidi è possibile effettuare l'Idrocolonterapia?,Si,No,Si ma solo se sono emorroidi esterne,Si ma solo se le emorroidi non sono in fase acuta,Si ma solo se le emorroidi non sono in fase acuta
IDROCOLONTERAPIA,NTID19,Un ciclo di Idrocolonterapia può risultare utile nella cura della psoriasi?,Si,No,Solo se è abbinato a Cortisone,Solo se abbinato a Paracetamolo,Si
IDROCOLONTERAPIA,NTID20,Una persona considerata stitica se defeca dopo,8 ore,12 ore,24 ore,36 ore,36 ore
MASSAGGIO CONNETTIVALE,NTMC1,Chi è la ideatrice del massaggio connettivale?,Ida Rolf,Eunice Ingham,Elisabeth Dicke,,Elisabeth Dicke
MASSAGGIO CONNETTIVALE,NTMC2,Con il massaggio connettivale si stimola il corpo,Nel segmento colpito dal male,In modo violento,In fase acuta,Nessuna delle precedenti,Nessuna delle precedenti
MASSAGGIO CONNETTIVALE,NTMC3,Il massaggio connettivale è un massaggio,Indicato in ogni terapia,Un trattamento sintomatico,Nessuna delle precedenti,,Un trattamento sintomatico
MASSAGGIO CONNETTIVALE,NTMC4,Il massaggio connettivale inizia sempre,Con la piccola preparazione,Nella parte dorsale,Stimolando gli arti inferiori,,Con la piccola preparazione
MASSAGGIO CONNETTIVALE,NTMC5,Il massaggio connettivale rappresenta,Una tecnica di massaggio riflesso,Una tecnica per un ottenere un equilibrio funzionale,Una tecnica superficiale e poco utile,,Una tecnica di massaggio riflesso
MASSAGGIO CONNETTIVALE,NTMC6,Il massaggio connettivale si basa principalmente su manualità,Di trazione con le dita o con la mano intera,Di rilassamento,Di sfioramento leggero,,Di trazione con le dita o con la mano intera
MASSAGGIO CONNETTIVALE,NTMC7,Il massaggio connettivale stimola,La cute,Il connettivo,Nessuna delle precedenti,,Il connettivo
MASSAGGIO CONNETTIVALE,NTMC8,La colonna vertebrale nel massaggio connettivale,Non viene mai stimolata,Si stimola solo nella zona lombosacrale,Nessuna delle precedenti,,Nessuna delle precedenti
MASSAGGIO CONNETTIVALE,NTMC9,La piccola preparazione,È solo dorsale,È solo ventrale,È dorsale e ventrale,,È dorsale e ventrale
MASSAGGIO CONNETTIVALE,NTMC10,La preparazione di base influenza il sistema nervoso,Ortosimpatico,Parasimpatico,Solo uno dei due a seconda della situazione del paziente,,Parasimpatico
MASSAGGIO CONNETTIVALE,NTMC11,Le trazioni accessorie,Sono manualità aggiuntive alle manualità di base,Trazioni da eseguire solo in casi specifici e indicati,Manualità da eseguire sempre in base al distretto corporeo interessato,,Sono manualità aggiuntive alle manualità di base
MASSAGGIO CONNETTIVALE,NTMC12,Lo stimolo deve essere applicato,Lontano dalle zone ammalate,Solo su alcuni strati tissutali,In modo standardizzato per tutti i pazienti,,Lontano dalle zone ammalate
MASSAGGIO CONNETTIVALE,NTMC13,Per dermatomo si intende,Parte infiammata della cute,Territorio di innervazione del nervo spinale nella cute e nel sottocute,Nessuna delle precedenti,,Territorio di innervazione del nervo spinale nella cute e nel sottocute
MASSAGGIO CONNETTIVALE,NTMC14,Per enterotomo si intende,Uno dei tre foglietti embrionali,Territorio di innervazione del nervo spinale negli organi interni,Entrambe le precedenti,,Territorio di innervazione del nervo spinale negli organi interni
MASSAGGIO CONNETTIVALE,NTMC15,Per miotomo si intende,Distretto corporeo muscolare,Territorio di innervazione del nervo spinale nella muscolatura scheletrica,Nessuna delle precedenti,,Territorio di innervazione del nervo spinale nella muscolatura scheletrica
MTC E DIETETICA CINESE,NTCI1,Come viene chiamata la MTC usata prima della Repubblica?,Medicina tradizionale cinese classica,Medicina cinese classica,Medicina contemporanea,Medicina tradizionale contemporanea,Medicina cinese classica
MTC E DIETETICA CINESE,NTCI2,Con quale dinastia si consolida il modello interpretativo nuovo dell'uso della teoria dei 5 movimenti?,La dinastia Han,La dinastia Song,La dinastia Ming,Nessuna risposta è corretta,La dinastia Han
MTC E DIETETICA CINESE,NTCI3,Cos'è lo Shen?,È lo spirito divino che scende sull'uomo e nell'uomo fino a farne parte,È un canale dove scorre energia,Entrambe le risposte sono valide,Nessuna risposta è corretta,È lo spirito divino che scende sull'uomo e nell'uomo fino a farne parte
MTC E DIETETICA CINESE,NTCI4,Cosa rappresentano i 9 Palazzi,Le nove condizioni esperienziali dell'esistenza,Le nove emozioni associate ai 5 movimenti,Entrambe le risposte sono valide,Nessuna risposta è corretta,Le nove condizioni esperienziali dell'esistenza
MTC E DIETETICA CINESE,NTCI5,Definizione di Tao,È la via il cammino,È il sapere efficace la capacità di cambiare,Entrambe le risposte sono valide,Nessuna risposta è corretta,Entrambe le risposte sono valide
MTC E DIETETICA CINESE,NTCI6,Dove risiede il Po (anima corporale),Rene,Polmone,Milza,Cuore,Polmone
MTC E DIETETICA CINESE,NTCI7,Dove risiede lo Hun (anima eterica),Cuore,Polmone,Fegato,Milza,Fegato
MTC E DIETETICA CINESE,NTCI8,Dove risiede lo Yi (pensiero razionale),Polmone,Rene,Milza,Fegato,Milza
MTC E DIETETICA CINESE,NTCI9,Dove risiede lo Zhi (volontà),Fegato,Rene,Cuore,Polmone,Rene
MTC E DIETETICA CINESE,NTCI10,Gli organi per la MTC sono,Yin,Yang,Nessuna delle precedenti,Tutte le precedenti,Yin
MTC E DIETETICA CINESE,NTCI11,I visceri per la MTC sono,Yang,Yin,Entrambe le risposte sono corrette,Nessuna risposta è corretta,Yang
MTC E DIETETICA CINESE,NTCI12,Il cielo anteriore,Rappresenta la nostra unicità fin dal concepimento,È un dono che riceviamo alla nascita,Entrambe le risposte sono corrette,Nessuna risposta è corretta,Entrambe le risposte sono corrette
MTC E DIETETICA CINESE,NTCI13,Il cielo posteriore,È un'energia acquisita,Energia che l'uomo rinnova quotidianamente fin dal momento della nascita,Entrambe le risposte sono corrette,Nessuna risposta è corretta,Entrambe le risposte sono corrette
MTC E DIETETICA CINESE,NTCI14,Il Confucianesimo è finalizzato,Alla politica,Alla persona nobile,È fortemente gerarchizzato,Tutte le precedenti,Tutte le precedenti
MTC E DIETETICA CINESE,NTCI15,Il pensiero cinese si divide tra quello,Taoismo e confucianesimo,Taoismo dinastie,Taoismo confucianesimo e dinastie,Nessuna risposta è corretta,Taoismo e confucianesimo
MTC E DIETETICA CINESE,NTCI16,Il sistema dei meridiani (Jing Luo) è,Un vero e proprio intreccio,La rete che anima l'organismo,L'insieme dei percorsi energetici,Sono tutte corrette,Sono tutte corrette
MTC E DIETETICA CINESE,NTCI17,La medicina cinese ha avuto origine dal,1976,1893,1943,1942,1943
MTC E DIETETICA CINESE,NTCI18,Le 5 virtù confuciane,Benevolenza integrità affidabilità rettitudine conoscenza,Rettitudine conoscenza consapevolezza affidabilità sostenibilità,Nessuna delle precedenti,Tutte le precedenti,Benevolenza integrità affidabilità rettitudine conoscenza
MTC E DIETETICA CINESE,NTCI19,Le scuole in comune ai due pensieri filosofici sono,Scuola dei mutamenti,Scuola yin-yang,Scuola dei mutamenti cinque movimenti,Tutte le precedenti,Tutte le precedenti
MTC E DIETETICA CINESE,NTCI20,Lo yin e lo yang indicano,Due sostanze o due entità,Due entità opposte e complementari secondo cui si esprime la realtà,Entrambe sono errate,Tutte le precedenti,Due entità opposte e complementari secondo cui si esprime la realtà
MTC E DIETETICA CINESE,NTCI21,Qual è la scuola che si occupa dello studio di interpretazione dei numeri?,Daoyin,Artimologia,Daode,Nessuna risposta è corretta,Artimologia
MTC E DIETETICA CINESE,NTCI22,Quali energie vengono indicate come i 3 tesori?,Jing Qi e Shen,Yin Qi e Shen,Jing Yang e Shen,Yang Shen e Qi,Jing Qi e Shen
MTC E DIETETICA CINESE,NTCI23,Quali sono le leggi che coordinano i 5 movimenti?,Legge di Generazione,Legge di Controllo,Entrambe,Nessuna,Entrambe
MTC E DIETETICA CINESE,NTCI24,Quanti Shen si conoscono?,6,5,10,4,5
MTC E DIETETICA CINESE,NTCI25,Storia della Cina,Periodo antico e moderno,Periodo antico periodo imperiale e storia moderna,Periodo antico e imperiale,Nessuna risposta è corretta,Periodo antico periodo imperiale e storia moderna
PRIMO SOCCORSO,NTPS1,Cosa si intende per ferita,Soluzione di continuità di un osso,Soluzione di continuità della cute,Soluzione di continuità di un'articolazione,,Soluzione di continuità della cute
PRIMO SOCCORSO,NTPS2,I sintomi tipici di un infarto miocardico acuto sono (indicare la risposta più completa),Dolore toracico irradiato all'arto superiore sinistro accompagnato di dispnea sudorazione algida pallore cutaneo e sensazione di morte imminente,Solo dolore toracico,Dolore toracico senza irradiazione ma con dispnea,,Dolore toracico irradiato all'arto superiore sinistro accompagnato di dispnea sudorazione algida pallore cutaneo e sensazione di morte imminente
PRIMO SOCCORSO,NTPS3,Il numero per la chiamata d'emergenza sanitaria è,116,Solo ed esclusivamente 112 in tutta Italia,112 o 118 a seconda dello stato di attivazione del numero unico da parte delle regioni,,112 o 118 a seconda dello stato di attivazione del numero unico da parte delle regioni
PRIMO SOCCORSO,NTPS4,Il primo soccorso può essere prestato da,Chiunque si trovi davanti ad un infortunato o ad una persona che sta male,Solo da personale sanitario,Solo da personale sanitario e in pronto soccorso,,Chiunque si trovi davanti ad un infortunato o ad una persona che sta male
PRIMO SOCCORSO,NTPS5,In caso di emorragia esterna qual è il comportamento più indicato,Mettere un cerotto sulla parte,Adottare opportune misure di protezione da contatto con sangue e tamponare la parte,Mettere del cotone affinché assorba il sangue che sta fuoriuscendo,,Adottare opportune misure di protezione da contatto con sangue e tamponare la parte
PRIMO SOCCORSO,NTPS6,In caso di frattura esposta è necessario,Disinfettare il moncone osseo esposto,Immobilizzare l'arto e coprire il moncone esposto,Lavare la zona con acqua e sapone,,Immobilizzare l'arto e coprire il moncone esposto
PRIMO SOCCORSO,NTPS7,In caso di rianimazione cardiopolmonare in un adulto qual è il giusto rapporto tra compressioni toraciche e insufflazioni,55,155,302,,302
PRIMO SOCCORSO,NTPS8,In caso di svenimento in assenza di traumatismi come si deve posizionare la persona,Far sedere la persona e svestirla,Caricarla sulle spalle e portarla nel letto più vicino,Far stendere la persona e sollevarle gli arti inferiori,,Far stendere la persona e sollevarle gli arti inferiori
PRIMO SOCCORSO,NTPS9,L'acronico P.A.S. significa,Proteggi avverti e soccorri,Partecipa avverti e soccorri,Proteggi avvicinati e sostieni,,Proteggi avverti e soccorri
PRIMO SOCCORSO,NTPS10,L'emorragia può essere,Solo arteriosa,Solo venosa,Sia venosa che arteriosa,,Sia venosa che arteriosa
PRIMO SOCCORSO,NTPS11,La finalità del Basic Life Support (BLS) è,Far ripartire il cuore,Mantenere la perfusione cerebrale durante l'arresto cardiaco,Far respirare la persona,,Mantenere la perfusione cerebrale durante l'arresto cardiaco
PRIMO SOCCORSO,NTPS12,La manovra di Heimlich è utile per,Disostruire le vie aeree da un corpo estraneo,Favorire il ritorno venoso in caso di shock,Valutare l'estensione di un'ustione,,Disostruire le vie aeree da un corpo estraneo
PRIMO SOCCORSO,NTPS13,Oltre alla protezione sia dell'infortunato che del soccorritore quale tra le seguenti è la prima misura da adottare in caso di ustione,Spalmare crema emolliente,Raffreddare la parte colpita,Mettere cotone e ghiaccio sulla parte colpita,,Raffreddare la parte colpita
PRIMO SOCCORSO,NTPS14,Quale tra queste NON è una responsabilità del primo soccorritore,Allertare i soccorsi,Proteggersi da eventuali rischi,Fare diagnosi,,Fare diagnosi
PRIMO SOCCORSO,NTPS15,Un paziente che si presenta a terra incosciente rigidità articolare movimenti tonico-clonici degli arti potrebbe verosimilmente avere,Una crisi asmatica,Uno stato d'ansia generalizzato,Una crisi convulsiva,,Una crisi convulsiva
PSICOLOGIA,NTPC1,Concetto di percezione del Campo Personale,una zona nell'ambiente dove viviamo che non vogliamo condividere con altre persone e che il cliente non vorrà condividere con voi,un'area relegata ai ricordi d'infanzia che come MCB non devi assolutamente toccare,un'area prossimale extracorporea che contiene e veicola informazioni e percezioni personali di cui il professionista nella relazione di aiuto deve divenire consapevole,,un'area prossimale extracorporea che contiene e veicola informazioni e percezioni personali di cui il professionista nella relazione di aiuto deve divenire consapevole
PSICOLOGIA,NTPC2,Cosa si intende con Corazze Muscolo Affettive (o segmenti corporei?),che il carattere è registrato anche nel corpo con tutti i suoi aspetti e memorie e va posta grande attenzione lavorando su pazienti attraverso manovre e tocchi corporei.,che ogni cliente ha tanti segmenti muscolari diversi che bisogna conoscere e memorizzare menadito,che non possiamo osservare il carattere del cliente perché si annulla nel corpo,,che il carattere è registrato anche nel corpo con tutti i suoi aspetti e memorie e va posta grande attenzione lavorando su pazienti attraverso manovre e tocchi corporei.
PSICOLOGIA,NTPC3,Cosa si intende con il termine AUTOSVILUPPO nell'ambito della Psicologia Cosciente OM dello Sviluppo Personale?,Che lo sviluppo umano è automatico e non dobbiamo prendercene cura,Che in età adulta la responsabilità dello sviluppo non è piu' demandata all'ambiente e ad altre figure ma è personale ed è una scelta di consapevolezza,Che nei primi anni di vita lo sviluppo è naturale e avviene da se',,Che in età adulta la responsabilità dello sviluppo non è piu' demandata all'ambiente e ad altre figure ma è personale ed è una scelta di consapevolezza
PSICOLOGIA,NTPC4,Gli Strati dell'IO nel Modello I.B.P. di Rosemberg,Se' Super IO Inconscio,Conscio Inconscio Superconscio,Mentale Difensivo Emotivo (Nucleo),,Mentale Difensivo Emotivo (Nucleo)
PSICOLOGIA,NTPC5,I tre principi base della teoria Polivagale,Primario Secondario Neutro,Gerarchia Neurocezione Coregolazione,Mente Pensiero Consapevolezza,,Gerarchia Neurocezione Coregolazione
PSICOLOGIA,NTPC6,Il Carattere è una protezione che creiamo per le seguenti ragioni,Protezione da pericoli reali e immaginari adattamento alle richieste dell'ambiente,Per non diventare grandi e restare nell'età dello sviluppo,Perché siamo sbilanciati verso comportamenti emotivi,,Protezione da pericoli reali e immaginari adattamento alle richieste dell'ambiente
PSICOLOGIA,NTPC7,La divisione del Nervo Vago del SNA della Teoria Polivagale,Simpatico,Ventro Vagale Dorso Vagale e Simpatico,Ventro Vagale e Dorso Vagale,,Ventro Vagale Dorso Vagale e Simpatico
PSICOLOGIA,NTPC8,Le emozioni sono una funzione antica per cui,Il cervello prima di sentire comprende,Il cervello prima di comprendere sente,Il cervello comprende e non deve sentire,,Il cervello prima di comprendere sente
PSICOLOGIA,NTPC9,Perché secondo te abbiamo sottolineato l'importanza del concetto di Messaggi Energetici o Neurologici?,Perché dobbiamo stare attenti a come parliamo pena l'isolamento sociale,☑ Perché esiste una comunicazione di coregolazione sottile di cui essere coscienti che è potente quanto quella manifesta ed è un presidio importante nelle professioni di aiuto,Perché ci aiutano a spiegarci meglio tenendo conto di tante sfumature e concetti,,☑ Perché esiste una comunicazione di coregolazione sottile di cui essere coscienti che è potente quanto quella manifesta ed è un presidio importante nelle professioni di aiuto
PSICOLOGIA,NTPC10,Quali sono gli stati del carattere nel modello che abbiamo utilizzato nelle lezioni?,Abbandonato Invaso Come SE,Abulico dinamico eccentrico,Introverso estroverso neutro,,Abbandonato Invaso Come SE
SICUREZZA SUL LAVORO,NTSL1,Che cosa è l'infortunio in itinere?,Un infortunio che avviene quando il Lavoratore si muove tra i vari reparti della sede aziendale,Un incidente stradale durante il ritorno dal lavoro,Un infortunio che può avvenire nel tragitto per raggiungere o ritornare dal posto di lavoro,,Un infortunio che può avvenire nel tragitto per raggiungere o ritornare dal posto di lavoro
SICUREZZA SUL LAVORO,NTSL2,Che cosa è un infortunio?,Una lesione subita dal Lavoratore in occasione di lavoro per una causa violenta e improvvisa,Un trauma dovuto ad un incidente avvenuto fuori dall'ambito lavorativo,Una malattia che si manifesta dopo vari anni dall'esposizione al rischio da lavoro,,Una lesione subita dal Lavoratore in occasione di lavoro per una causa violenta e improvvisa
SICUREZZA SUL LAVORO,NTSL3,Che cosa è una malattia professionale,È una patologia che si manifesta con violenza durante lo svolgimento dell'attività lavorativa,È una patologia la cui causa agisce lentamente e progressivamente sull'organismo,È un disturbo che obbliga il lavoratore a richiedere un periodo di riposo di almeno un mese,,È una patologia la cui causa agisce lentamente e progressivamente sull'organismo
SICUREZZA SUL LAVORO,NTSL4,Come vengono classificati i Dispositivi di Protezione Individuale (DPI)?,Classe A - Classe B - Classe C,1° Categoria - 2° Categoria - 3° Categoria,Fascia Verde - Fascia Gialla - Fascia Rossa,,1° Categoria - 2° Categoria - 3° Categoria
SICUREZZA SUL LAVORO,NTSL5,Cosa è necessario fare dopo aver effettuato la valutazione dei rischi?,È necessario intraprendere azioni di riduzione dei rischi,Darne comunicazione all'ATS territoriale,La riduzione del rischio non basta è necessario procedere alla totale eliminazione degli stessi,,È necessario intraprendere azioni di riduzione dei rischi
SICUREZZA SUL LAVORO,NTSL6,Cosa si intende per rischio residuo,Rischio non valutato alla fonte,Rischio rimanente a seguito del trattamento del rischio,Rischio non significativo o accettabile,,Rischio rimanente a seguito del trattamento del rischio
SICUREZZA SUL LAVORO,NTSL7,I cartelli segnaletici di avvertimento,Hanno forma rotonda e vietano un'azione,Hanno forma triangolare e segnalano un pericolo,Hanno forma rettangolare e segnalano un rischio,,Hanno forma triangolare e segnalano un pericolo
SICUREZZA SUL LAVORO,NTSL8,I lavoratori che non indossano i DPI sono punibili con,Il declassamento o il cambiamento di mansione,L'arresto fino a un mese o l'ammenda da €. 254 a 737,Il licenziamento immediato,,L'arresto fino a un mese o l'ammenda da €. 254 a 737
SICUREZZA SUL LAVORO,NTSL9,I lavoratori hanno l'obbligo di,Utilizzare in modo appropriato i dispositivi di protezione messi a loro disposizione,Eleggere un loro rappresentante per la sicurezza,Contribuire attivamente alla valutazione dei rischi,,Utilizzare in modo appropriato i dispositivi di protezione messi a loro disposizione
SICUREZZA SUL LAVORO,NTSL10,Il DVR aziendale è,Il Documento di Valutazione del Rendimento dei Lavoratori,Il Documento di Valutazione dei Rischi che comprende obbligatoriamente tutti i rischi identificabili,Un Documento facoltativo che può essere consultato solo dal Datore di Lavoro e dall'RSPP,,Il Documento di Valutazione dei Rischi che comprende obbligatoriamente tutti i rischi identificabili
SICUREZZA SUL LAVORO,NTSL11,Il lavoratore che rilevi un problema di sicurezza deve,Proseguire nell'attività attendendo che il problema venga rilevato e risolto dal Preposto,Segnalarla immediatamente al Datore di Lavoro o al Preposto,Proseguire nell'attività senza preoccuparsi perché è un problema del Datore di Lavoro,,Segnalarla immediatamente al Datore di Lavoro o al Preposto
SICUREZZA SUL LAVORO,NTSL12,Il Medico Competente può rivelare i dati sanitari dei lavoratori?,Solo al Datore di Lavoro,Solo al Rappresentante dei Lavoratori per la sicurezza,Solo all'Autorità Giudiziaria (Magistrato) o agli Ufficiali della ATS e solo per motivi di indagine,,Solo all'Autorità Giudiziaria (Magistrato) o agli Ufficiali della ATS e solo per motivi di indagine
SICUREZZA SUL LAVORO,NTSL13,Il Rappresentante dei Lavoratori per la Sicurezza,Ha l'obbligo di sanzionare i lavoratori che non osservano le misure di sicurezza,Ha l'obbligo di segnalare ai responsabili aziendali i rischi identificati o di cui viene a conoscenza dai lavoratori,Riceve l'incarico dal Datore di Lavoro che lo sceglie tra le persone di propria assoluta fiducia,,Ha l'obbligo di segnalare ai responsabili aziendali i rischi identificati o di cui viene a conoscenza dai lavoratori
SICUREZZA SUL LAVORO,NTSL14,Il rischio è,La possibilità che accada un evento imprevedibile,La capacità di una sostanza pericolosa di fare danno,La combinazione della probabilità e della conseguenza del verificarsi di uno specifico evento dannoso,,La combinazione della probabilità e della conseguenza del verificarsi di uno specifico evento dannoso
SICUREZZA SUL LAVORO,NTSL15,L'informazione sui rischi aziendali è,Una attività che viene svolta solo al momento dell'assunzione in azienda poi è a discrezione del lavoratore,"Facoltativa per il datore di lavoro per i Dirigenti e Preposti, obbligatoria per tutti i Lavoratori",Obbligatoria per tutti Lavoratori che sono tenuti a partecipare agli incontri di informazione,,Obbligatoria per tutti Lavoratori che sono tenuti a partecipare agli incontri di informazione
SICUREZZA SUL LAVORO,NTSL16,La Valutazione del rischio e la redazione del relativo documento sono un obbligo,del Medico Competente,del Datore di Lavoro,dell'R.S.P.P.,,del Datore di Lavoro
SICUREZZA SUL LAVORO,NTSL17,Nella valutazione del rischio incendio cosa è un comburente?,È la condizione energetica necessaria perché la reazione di combustione abbia luogo,È una sostanza che agisce come agente ossidante di un combustibile in una reazione di combustione,È una sostanza naturale o artificiale (solida – liquida – gassosa) capace di infiammarsi organica o inorganica,,È una sostanza che agisce come agente ossidante di un combustibile in una reazione di combustione
