Materia,iddomanda,domanda,risposta1,risposta2,risposta3,risposta4,risposta_corretta
SICUREZZA SUL LAVORO,NTSL18,Quale tra i seguenti Enti è Organo di vigilanza e Assistenza in materia di Sicurezza sul Lavoro?,Polizia Provinciale,Polizia Urbana,A.T.S.,,A.T.S.
SICUREZZA SUL LAVORO,NTSL19,Tra i compiti degli addetti alla gestione delle emergenze vi sono,Predisporre il Piano di intervento in caso di incidente rilevante,Allertare il sistema di soccorso,Organizzare l'evacuazione dei luoghi di lavoro,,Allertare il sistema di soccorso
SICUREZZA SUL LAVORO,NTSL20,Tra i compiti del Responsabile del Servizio di Prevenzione e Protezione vi è,Coordinare il Servizio di Prevenzione e Protezione,La vigilanza sul rispetto delle norme da parte dei lavoratori,La valutazione dell'idoneità psicofisica dei Lavoratori,,Coordinare il Servizio di Prevenzione e Protezione
SIMULAZIONE BUSTA A,SIMA1,Le articolazioni fra coste e rachide dorsale sono classificate come,Artrodie ,Sinartrosi ,Enartrosi complesse ,,Sinartrosi 
SIMULAZIONE BUSTA A,SIMA2,La Grande Cavità pelvica si può identificare con lo spazio,Sottostante lo stretto superiore ,Delimitato dalle due anche ,Corrispondente alle fosse iliache interne ,,Delimitato dalle due anche 
SIMULAZIONE BUSTA A,SIMA3,L'osso occipitale è:,Un osso pari e simmetrico ospitante sul versante interno le fosse occipitali ,Un osso impari e mediano ospitante le fosse occipitali e cerebellari ,Un osso impari situato anteriormente e delimitante le cavità orbitarie ,,Un osso impari e mediano ospitante le fosse occipitali e cerebellari 
SIMULAZIONE BUSTA A,SIMA4,La colonna vertebrale presenta le seguenti curve fisiologiche:,Lordosi cervicale  cifosi dorsale  lordosi lombare e cifosi sacro-coccigea ,Lordosi cervicale e toracica  cifosi lombare e lordosi sacro-coccigea ,Cifosi cervicale  lordosi toraco-lombare e cifosi sacro-coccigea ,,Lordosi cervicale  cifosi dorsale  lordosi lombare e cifosi sacro-coccigea 
SIMULAZIONE BUSTA A,SIMA5,Le prominenze ossee apprezzabili al tatto sulla linea mediana posteriore corrispondono a,Processi trasversi delle vertebre ,Processi spinosi delle vertebre ,Processi articolari vertebrali ,,Processi spinosi delle vertebre 
SIMULAZIONE BUSTA A,SIMA6,Quali compiti svolgono fondamentalmente le proteine?,Forniscono energia a pronta e lenta utilizzazione ,Hanno una funzione plastica e bioregolatoria ,Hanno un ruolo costruttivo e di deposito di energia ,,Hanno una funzione plastica e bioregolatoria 
SIMULAZIONE BUSTA A,SIMA7,Quali compiti svolge il duodeno?,Motoria  endocrina  digestiva e di assorbimento ,Motoria e di assorbimento delle unità elementari dei nutrienti ,Motoria  digestiva e di assorbimento ,,Motoria  endocrina  digestiva e di assorbimento 
SIMULAZIONE BUSTA A,SIMA8,Cos'è l'Igiene?,Disciplina che studia la diffusione delle infezioni ,Modalità di trasmissione delle malattie infettive ,Branca della medicina che mira alla tutela della salute collettiva ed individuale attraverso la prevenzione ,,Branca della medicina che mira alla tutela della salute collettiva ed individuale attraverso la prevenzione 
SIMULAZIONE BUSTA A,SIMA9,La disinfezione è definita come:,Insieme di misure attuate per rimuovere fisicamente la sporcizia ,Insieme di misure attuate per ridurre il numero di microrganismi capaci di provocare malattia ,Insieme di misure attuate per distruggere completamente tutte le forme di vita microbica ,,Insieme di misure attuate per ridurre il numero di microrganismi capaci di provocare malattia 
SIMULAZIONE BUSTA A,SIMA10,Cosa sono i guanti?,Dispositivi di protezione individuale ,Dispositivi di prevenzione individuale ,Attrezzature sanitarie ,,Dispositivi di protezione individuale 
SIMULAZIONE BUSTA A,SIMA11,Quanti e quali sono i massaggi?,Sono 5: mass  curativo  terapeutico  olistico  estetico  sportivo,Sono 6: mass  terapeutico  curativo  olistico  estetico  igienico  sportivo,Sono 5: mass  curativo  olistico  sportivo  igienico  estetico,,Sono 5: mass  curativo  olistico  sportivo  igienico  estetico
SIMULAZIONE BUSTA A,SIMA12,Indicare l' utilità dell' impastamento:,Favorisce l'eliminazione dei cataboliti e scioglie le miogelosi ,Diminuzione del tono muscolare con effetti mio-rilassante ,A livello cutaneo determina una risoluzione a stati aderenziali con effetto iperemizzante ,,Diminuzione del tono muscolare con effetti mio-rilassante 
SIMULAZIONE BUSTA A,SIMA13,Lo scuotimento provoca:,Una caduta del tono muscolare e conseguente rilassamento muscolare ,Lo scioglimento delle contratture ,Una tonificazione muscolare ,,Una caduta del tono muscolare e conseguente rilassamento muscolare 
SIMULAZIONE BUSTA A,SIMA14,In caso di impossibilità di effettuare il massaggio causato dal dolore,Continuo a massaggiare fino ad attenuare il dolore ,Prescrivo un antinfiammatorio e lo rivedo in un altro momento ,Interrompo immediatamente la seduta ,,Interrompo immediatamente la seduta 
SIMULAZIONE BUSTA A,SIMA15,Il muscolo estensore breve delle dita:,Estende il 2°  3°  4° e 5° dito del piede,Estende dal 2° al 4° dito del piede,Estende dal 3° al 5° dito del piede,,Estende dal 2° al 4° dito del piede
SIMULAZIONE BUSTA A,SIMA16,Durante un massaggio è consigliato:,Utilizzare olio minerale addizionato con olio essenziale ,Utilizzare olio vegetale addizionato olio essenziale ,Utilizzare olio essenziale ,,Utilizzare olio vegetale addizionato olio essenziale 
SIMULAZIONE BUSTA A,SIMA17,Il punto riflesso del cuore è:,Sulla 3^ articolazione del piede destro,Sulla 4^ articolazione del piede sinistro,Sulla 4^ articolazione del piede destro,,Sulla 4^ articolazione del piede sinistro
SIMULAZIONE BUSTA A,SIMA18,I punti riflessi dell' apparato genitale indiretto si trova:,Sotto il tallone ,Nella zona mediale a livello del malleolo ,Comincia nella zona laterale sotto il malleolo e prosegue in zona mediale ,,Sotto il tallone 
SIMULAZIONE BUSTA A,SIMA19,L'apparato gastrointestinale comincia da:,Piede destro sotto il primo dito con lo stomaco ,Piede sinistro in visione mediale a livello del colon trasverso ,Piede sinistro nella zona plantare interdigitale tra il primo e secondo dito ,,Piede sinistro nella zona plantare interdigitale tra il primo e secondo dito 
SIMULAZIONE BUSTA A,SIMA20,Perchè è importante conoscere il fenomeno della Rifrazione in una seduta di IdroKinesi?,Perchè può incidere con il reale movimento di un corpo in acqua se osservando da un punto esterno ,Non è importante ,Perchè può variare la densità dell'acqua ,,Perchè può incidere con il reale movimento di un corpo in acqua se osservando da un punto esterno 
SIMULAZIONE BUSTA A,SIMA21,Nella seduta di IdroKinesi cosa è consigliato trattare nella posizione supina in galleggiamento?,Solo l'arto inferiore ,Arto superiore e zona cervicale ,Nessuna delle precedenti ,,Nessuna delle precedenti 
SIMULAZIONE BUSTA A,SIMA22,La pressione idrostatica e la spinta idrostatica?,Sono forze che agisco sui tessuti del corpo umano ,Sono riferibili all'ambiente terrestre e non acquatico ,Non sono forze fisico-meccaniche che interessano l'Idro Kinesi ,,Sono forze che agisco sui tessuti del corpo umano 
SIMULAZIONE BUSTA A,SIMA23,Il Beccheggio:,È il movimento sull'asse longitudinale ,È il movimento sull'asse trasversale ,Nessuna delle precedenti ,,È il movimento sull'asse trasversale 
SIMULAZIONE BUSTA A,SIMA24,Un corpo non idrodinamico che crea molte turbolenze:,Per muoversi ha bisogno di meno forza rispetto ad un corpo idrodinamico ,Non può muoversi in ambiente acquatico e non è interessante per esercizi di idrokinesi ,Può essere considerato per esercizi di potenziamento muscolare ,,Può essere considerato per esercizi di potenziamento muscolare 
SIMULAZIONE BUSTA A,SIMA25,Il sistema linfatico nasce:,A fondo cieco nello spazio interstiziale ,Direttamente dai capillari arteriosi ,Direttamente dai capillari venosi ,,A fondo cieco nello spazio interstiziale 
SIMULAZIONE BUSTA A,SIMA26,Il sistema linfatico ha funzione di:,Mantenere il volume ematico totale ,Termoregolazione ,Ossigenazione tissutale ,,Mantenere il volume ematico totale 
SIMULAZIONE BUSTA A,SIMA27,Controindicazioni relative del linfodrenaggio:,Insufficienza cardiaca ,Tbc ,Fragilità capillare ,,Insufficienza cardiaca 
SIMULAZIONE BUSTA A,SIMA28,Il linfagione:,È posto solo in profondità sotto la fascia muscolare ,È l'unità strutturale del sistema linfatico ,Non è dotato di capacità contrattile ,,È l'unità strutturale del sistema linfatico 
SIMULAZIONE BUSTA A,SIMA29,Nell'ilo linfonodale troviamo:,Vasi linfatici afferenti al linfonodo ,Vasi linfatici efferenti ,Nessuna delle precedenti ,,Vasi linfatici efferenti 
SIMULAZIONE BUSTA A,SIMA30,Il linfonodo è costituito da:,Capsula  corticale e midollare ,Capsula e nucleo ,Capsula  tessuto spugnoso e nucleo ,,Capsula  corticale e midollare 
SIMULAZIONE BUSTA A,SIMA31,Il tessuto connettivo è formato da:,Sostanza intercellulare ,Acqua e cellule ,Linfa e cellule ,,Sostanza intercellulare 
SIMULAZIONE BUSTA A,SIMA32,Il tessuto cartilagineo:,È un tipo di tessuto connettivale ,Non è un tessuto ,È un tessuto ma non di tipo connettivale ,,È un tipo di tessuto connettivale 
SIMULAZIONE BUSTA A,SIMA33,Il sangue e la linfa:,Non sono tessuti ,Sono dei tessuti connettivali ,Sono tessuti non di tipo connettivale ,,Sono dei tessuti connettivali 
SIMULAZIONE BUSTA A,SIMA34,Il massaggio connettivale ha un'azione:,Locale ,Riflessa ,Locale e riflessa ,,Locale e riflessa 
SIMULAZIONE BUSTA A,SIMA35,Le manualità del massaggio connettivale sono:,Dermica  muscolare  neuronale ,Cutaneo  sottocutaneo  fascia ,Cutaneo  muscolare  fascia ,,Dermica  muscolare  neuronale 
SIMULAZIONE BUSTA A,SIMA36,Applicando il Tape Kinesiologico longitudinale al ventre muscolare con tensione di circa 70% che azione ottengo?,Miorilassante antalgica ,Eccito motoria ,Nessuna delle precedenti ,,Eccito motoria 
SIMULAZIONE BUSTA A,SIMA37,La tensione applicativa di TapeKinesiologico con tecnica Pocket o Drenante deve essere?,Da circa 0 a 20%,Da circa 20 a 50%,Da circa 50 a 70%,,Da circa 0 a 20%
SIMULAZIONE BUSTA A,SIMA38,Quale è la caratteristica della colla adesiva presente sul TapeKinesiologico?,È paragonabile alla benda coesiva ,Non ha caratteristiche distintive da altre bende adesive ,È spalmata a onde ,,È spalmata a onde 
SIMULAZIONE BUSTA A,SIMA39,La Costituzione tutela la salute in Italia?,Nella Costituzione non è tutelata la salute ,La Costituzione  nell'art 32  riconosce la tutela la salute come diritto fondamentale dell'individuo e interesse della collettività  garantendo la possibilità di curarsi anche agli indigenti,La Costituzione tutela la salute come diritto fondamentale dell'individuo solo nei confronti dei cittadini che pagano le tasse ,,La Costituzione  nell'art 32  riconosce la tutela la salute come diritto fondamentale dell'individuo e interesse della collettività  garantendo la possibilità di curarsi anche agli indigenti
SIMULAZIONE BUSTA A,SIMA40,Che cos'è la capacità di agire?,Capacità di essere titolare di diritti e di obblighi ,Capacità di poter disporre dei propri diritti e di poter assumere obblighi ,Capacità di muoversi liberamente in Italia ,,Capacità di poter disporre dei propri diritti e di poter assumere obblighi 
SIMULAZIONE BUSTA A,SIMA41,Che cos'è la capacità giuridica?,Capacità di essere titolare di diritti e di obblighi ,Capacità di poter disporre dei propri diritti e di poter assumere obblighi ,Capacità di poter acquistare un appartamento ,,Capacità di essere titolare di diritti e di obblighi 
SIMULAZIONE BUSTA A,SIMA42,Nel documento di valutazione dei rischi devono essere individuate le misure di prevenzione e di protezione dei rischi?:,No ,Si  solo se l'impresa è di proprietà dello Stato ,Si  sempre ,,Si  sempre 
SIMULAZIONE BUSTA A,SIMA43,A cosa serve il sistema miofasciale?,A proteggere le articolazioni ,A migliorare il trofismo dei muscoli ,A mettere in comunicazione organi e tessuti ,,A mettere in comunicazione organi e tessuti 
SIMULAZIONE BUSTA A,SIMA44,Il massaggio su tumefazioni linfonodali:,Si può effettuare sulla zona infiammata ,Si può effettuare sugli altri distretti corporei ,Non si può effettuare ,,Non si può effettuare 
SIMULAZIONE BUSTA A,SIMA45,La fascia è:,Molto vascolarizzata ,Non è affatto vascolarizzata ,Poco vascolarizzata ,,Poco vascolarizzata 
SIMULAZIONE BUSTA A,SIMA46,Di quale tessuto è formata la fascia?,Osseo ,Muscolare ,Connettivale ,,Connettivale 
SIMULAZIONE BUSTA A,SIMA47,Il massaggio miofasciale migliora:,La postura ,La cellulite ,Il tono della pelle ,,La postura 
SIMULAZIONE BUSTA A,SIMA48,A chi dare priorità nel massaggio pre gara:,A chi sta perfettamente bene ,A chi denuncia qualche problema ,Alle persone che sono decisive per la riuscita della competizione ,,A chi denuncia qualche problema 
SIMULAZIONE BUSTA A,SIMA49,Il massaggio post gara è utile per:,Aiutare a eliminare le tossine ed i radicali liberi prodotti  durante la competizione ,Togliere l'acido lattico ,Riprendere la normale attività respiratoria e cardiaca ,,Aiutare a eliminare le tossine ed i radicali liberi prodotti  durante la competizione 
SIMULAZIONE BUSTA A,SIMA50,Quali sono le manovre più adatte al massaggio post gara?,Alternare le manualità di sfregamento profondo e frizioni  alla percussione ed al rotolamento ,Alternare le manualità di sfregamento profondo e frizioni  allo scuotimento ed al rotolamento ,Alternare le manualità di sfregamento profondo e frizioni  allo scuotimento ed all' impastamento ,,Alternare le manualità di sfregamento profondo e frizioni  allo scuotimento ed al rotolamento 
SIMULAZIONE BUSTA B,SIMB1,La membrana cellulare fondamentalmente è:,Uno strato lipidico che individua la cellula e la separa dall'interstizio,Un doppio strato lipoproteico con annessa qualche molecola glucidica,Un doppio strato proteico con proteine superficiali e a tutto spessore ,,Un doppio strato proteico con proteine superficiali e a tutto spessore 
SIMULAZIONE BUSTA B,SIMB2,Il diaframma è sostanzialmente:,Un muscolo espiratorio appartenente alla parete addominale,"Un muscolo inspiratorio foggiato ""ad ombrello"" che separa il torace dall'addome ",Un muscolo liscio a forma di cupola ,,Un muscolo espiratorio appartenente alla parete addominale
SIMULAZIONE BUSTA B,SIMB3,Gran parte dell'orecchio è sistemata,Nella piramide dell'osso temporale,Nel complesso osso sfenoide,Nella Rocca Petrosa dell'osso temporale e parte nel frontale,,Nella piramide dell'osso temporale
SIMULAZIONE BUSTA B,SIMB4,La gabbia toracica è formata da:,Dodici paia di coste  lo sterno e il tratto toracico della colonna vertebrale ,Dodici paia di coste e lo sterno anteriormente,Dodici paia di coste  lo sterno ed il tratto lombare della colonna vertebrale ,,Dodici paia di coste  lo sterno e il tratto toracico della colonna vertebrale 
SIMULAZIONE BUSTA B,SIMB5,I segmenti ossei della gamba sono rappresentati da,Femore  perone e radio in posizione anatomica normale ,Femore  fibula e tibia in posizione anatomica normale ,Tibia e perone  rispettivamente mediale e laterale in posizione anatomica normale ,,Tibia e perone  rispettivamente mediale e laterale in posizione anatomica normale 
SIMULAZIONE BUSTA B,SIMB6,Quanto sangue mediamente il cuore spinge in circolo in un minuto?,70 ml,Circa 5 litri,Circa 120 ml,,Circa 5 litri
SIMULAZIONE BUSTA B,SIMB7,Quale organo è principalmente addetto alla produzione di Eritropoietina?,Rene,Fegato,Midollo osseo ,,Rene
SIMULAZIONE BUSTA B,SIMB8,Cosa è un virus ?,Microrganismo autosufficiente,Microrganismo di forma cilindrica,Microrganismo non autosufficiente ,,Microrganismo non autosufficiente 
SIMULAZIONE BUSTA B,SIMB9,La disinfezione è definita come:,Insieme di misure attuate per rimuovere fisicamente la sporcizia,Insieme di misure attuate per ridurre il numero di microrganismi capaci di provocare malattia,Insieme di misure attuate per distruggere completamente tutte le forme di vita microbica ,,Insieme di misure attuate per ridurre il numero di microrganismi capaci di provocare malattia
SIMULAZIONE BUSTA B,SIMB10,Cosa è la chemioprofilassi?,E' una tecnica di disinfezione,E' un tipo di chemioterapia,E' la somministrazione di farmaci particolari con lo scopo di impedire l'insorgenza delle malattie in alcuni casi ,,E' la somministrazione di farmaci particolari con lo scopo di impedire l'insorgenza delle malattie in alcuni casi 
SIMULAZIONE BUSTA B,SIMB11,Che cosa si intende per massaggio curativo?,Un massaggio che serve per migliorare lo stato cutaneo ma non tratta la muscolatura,Una serie di manovre fisiche che modificano l'organismo,Un massaggio che prepara ad una attività sportiva ,,Una serie di manovre fisiche che modificano l'organismo
SIMULAZIONE BUSTA B,SIMB12,Quali sono le zone semi interdette del massaggio?,Cavo ascellare  zona retro malleolare  cavo popliteo  osso sacro  sartorio ,Faccia antero laterale del collo  zona retroauricolare  solco tibiale  zona anteriore del gomito ,Apofisi spinose  retto femorale  quadrato dei lombi  piccolo romboide  ,,Faccia antero laterale del collo  zona retroauricolare  solco tibiale  zona anteriore del gomito 
SIMULAZIONE BUSTA B,SIMB13,Quale è l'utilità della vibrazione?,Produce rilassamento alla muscolatura e in corrispondenza di organi può indurre ad un aumento della Peristalsi,Prepara il muscolo ad essere percosso con la percussione ulnare,Lavora sulle fibre trasverse del muscolo per togliere grosse miogelosi ,,Produce rilassamento alla muscolatura e in corrispondenza di organi può indurre ad un aumento della Peristalsi
SIMULAZIONE BUSTA B,SIMB14,Quali sono le condizioni necessarie per effettuare un massaggio adeguato?,Ambiente adeguato  materiale corretto  condizioni dell' operatore e temperatura di 24°,Totale rilassamento dell'operatore,Ambiente adeguato  materiale corretto  condizioni dell' operatore e temperatura di 28-29°,,Ambiente adeguato  materiale corretto  condizioni dell' operatore e temperatura di 24°
SIMULAZIONE BUSTA B,SIMB15,Quali norme deve adottare un massaggiatore prima di cominciare un massaggio?,Avere le mani calde e bagnate  portare anelli  avere le unghie tagliate ,Avere le mani sudate  avere i presidi perla propria tutela  avere un abbigliamento comodo ,Avere le mani calde  avere i presidi per la propria salute  tenere una corretta postura  ,,Avere le mani calde  avere i presidi per la propria salute  tenere una corretta postura  
SIMULAZIONE BUSTA B,SIMB16,Il muscolo tibiale anteriore:,Estende il piede,Flette e supina il piede,Flette e prona il piede ,,Flette e supina il piede
SIMULAZIONE BUSTA B,SIMB17,Il punto riflesso del pancreas si trova:,Nella zona polposa del piede destro,Nella zona polposa del piede sinistro (testa e corpo) e prosegue nel piede destro (coda),Nella zona polposa del piede sinistro (coda e corpo) e prosegue nel piede destro (testa) ,,Nella zona polposa del piede sinistro (coda e corpo) e prosegue nel piede destro (testa) 
SIMULAZIONE BUSTA B,SIMB18,Il percorso per un normale trattamento è così composto:,Il coccolamento  il trattamento dell' apparato gastrico  il trattamento all apparato interessato  e i reni ,Il trattamento dei reni  il coccolamento  e l'organo bersaglio ,Il coccolamento  i reni  l'organo bersaglio  i reni e il coccolamento  ,,Il coccolamento  i reni  l'organo bersaglio  i reni e il coccolamento  
SIMULAZIONE BUSTA B,SIMB19,Il punto riflesso delle gonadi si trova:,Sul piede sinistro in visione laterale sotto la zona malleolare,Sul piede destro in visione laterale sotto la zona malleolare,Su ambedue i piedi in visione laterale sotto la zona malleolare ,,Su ambedue i piedi in visione laterale sotto la zona malleolare 
SIMULAZIONE BUSTA B,SIMB20,In IdroKinesi la temperatura Neutra dell'acqua si considera quando?,La temperatura è di circa 38-39°,La temperatura è di circa 34-35°,La temperatura è di circa 28-29°,,La temperatura è di circa 34-35°
SIMULAZIONE BUSTA B,SIMB21,Nella seduta di IdroKinesi l'acqua allo stato solido  ghiaccio  può essere utilizzata?,Non può essere utilizzata,Solo in vasche specifiche,Nella fase acuta post-traumatica ,,Non può essere utilizzata
SIMULAZIONE BUSTA B,SIMB22,L'Idrodinamicità in relazione alle Turbolenze?,Maggiore è l'Idrodinamicità maggiori sono le Turbolenze,Maggiore è l'Idrodinamicità minori sono le Turbolenze,L'Idrodinamicità non ha nulla in relazione con le Turbolenze ,,Maggiore è l'Idrodinamicità minori sono le Turbolenze
SIMULAZIONE BUSTA B,SIMB23,In IdroKinesi un corpo cambiando il suo peso specifico varia la sua posizione in acqua?,Se il peso specifico del corpo è maggiore dell'acqua sarà in sospensione,Se il peso specifico del corpo è uguale all'acqua sarà in galleggiamento,Se il peso specifico del corpo è minore dell'acqua sarà in galleggiamento ,,Se il peso specifico del corpo è minore dell'acqua sarà in galleggiamento 
SIMULAZIONE BUSTA B,SIMB24,La viscosità da considerarsi elemento importante ed interessante per l'IdroKinesi?,E' una grandezza fisica in riferimento ai solidi,Permette ad un corpo di muoversi all'intento di un fluido con maggiore o minore attrito,Nessuna delle precedenti ,,Permette ad un corpo di muoversi all'intento di un fluido con maggiore o minore attrito
SIMULAZIONE BUSTA B,SIMB25,Controindicazioni assolute del linfodrenaggio:,Asma,Infezioni in fase acuta,Insufficienza renale ,,Infezioni in fase acuta
SIMULAZIONE BUSTA B,SIMB26,Il dotto toracico:,Raccoglie la linfa proveniente da tutto il corpo,Raccoglie la linfa proveniente da capo e arto superiore sinistro,Raccoglie la linfa proveniente dalla metà sottodiaframmatica e dalla metà superiore sinistra del corpo ,,Raccoglie la linfa proveniente dalla metà sottodiaframmatica e dalla metà superiore sinistra del corpo 
SIMULAZIONE BUSTA B,SIMB27,Il linfonodo è:,Denervato,Innervato,Liscio ,,Innervato
SIMULAZIONE BUSTA B,SIMB28,La circolazione linfatica avviene:,In senso centripeto,In senso centrifugo,In nessun senso ,,In senso centripeto
SIMULAZIONE BUSTA B,SIMB29,I filamenti di ancoraggio hanno funzione di:,Mantenere in sede il linfonodo,Di consentire un'apertura maggiore dei pori dei capillari stessi,Di consentire un'apertura minore dei pori dei capillari stessi ,,Di consentire un'apertura maggiore dei pori dei capillari stessi
SIMULAZIONE BUSTA B,SIMB30,Le valvole dei vasi linfatici sono:,Passive,Attive sotto controllo del sistema nervoso centrale,Attive sotto controllo del sistema nervoso periferico ,,Passive
SIMULAZIONE BUSTA B,SIMB31,Il tessuto connettivo:,Ha la funzione di connettere i vari organi nella loro formazione,Ha la funzione di tradurre le informazioni,Ha la funzione di portare nutrimenti e ossigeno ,,Ha la funzione di connettere i vari organi nella loro formazione
SIMULAZIONE BUSTA B,SIMB32,Il tessuto connettivale:,È soltanto di un tipo,Ce ne sono tipologie diverse,Nessuna risposta esatta ,,Ce ne sono tipologie diverse
SIMULAZIONE BUSTA B,SIMB33,I tessuti connettivali si differenziano per:,La concentrazione e la disposizione delle cellule,Dalla concentrazione proteica,Dalla presenza di lipidi ,,La concentrazione e la disposizione delle cellule
SIMULAZIONE BUSTA B,SIMB34,Il massaggio connettivale:,Segue la legge della segmentazione,Segue la legge della polarizzazione,Non segue nessuna legge ,,Segue la legge della segmentazione
SIMULAZIONE BUSTA B,SIMB35,La manovra del sottocutaneo:,È la più profonda,È la più leggera,È la manovra intermedia ,,È la manovra intermedia 
SIMULAZIONE BUSTA B,SIMB36,Quali sono i materiali con cui è realizzato il TapeKinesiologico?,Fibre di cotone  carta  fibre elastiche longitudinali e trasversali  colla adesiva ,Fibre di cotone  carta  fibre elastiche longitudinali  colla adesiva ,Fibre di cotone  fibre elastiche longitudinali  colla adesiva  ,,Fibre di cotone  carta  fibre elastiche longitudinali  colla adesiva 
SIMULAZIONE BUSTA B,SIMB37,Come deve essere la cute per poter applicare il TapeKinesiologico?,Non è importante perchè in ogni caso può essere applicato,Integra  detersa e preferibilmente priva di peli ,Integra senza versamenti ematici sottocutanei  detersa e preferibilmente priva di peli  ,,Integra  detersa e preferibilmente priva di peli 
SIMULAZIONE BUSTA B,SIMB38,Il Tape Kinesiologico è consigliabile applicarlo con tensione massima 100%?,Si,No,Dipende se applicato in proiezione cutanea articolare o muscolare ,,No
SIMULAZIONE BUSTA B,SIMB39,A che età in generale il lavoratore può iniziare a lavorare?,19,16,16 e deve avere espletato l'obbligo d'istruzione,,16 e deve avere espletato l'obbligo d'istruzione
SIMULAZIONE BUSTA B,SIMB40,Il lavoratore deve essere adibito alle mansioni per le quali è stato assunto?,Si,Si  ma solo se lavora nelle aziende chimiche ,No ,,Si
SIMULAZIONE BUSTA B,SIMB41,Il lavoratore di un'azienda privata può essere destinato a svolgere  durante il rapporto di lavoro  mansioni superiori?,No,Si  ma solo se il contratto collettivo lo prevede ,Si ,,Si 
SIMULAZIONE BUSTA B,SIMB42,Che cos'è la capacità giuridica?,Capacità di essere titolare di diritti e di obblighi,Capacità di poter disporre dei propri diritti e di poter assumere obblighi,Capacità di poter acquistare un appartamento ,,Capacità di essere titolare di diritti e di obblighi
SIMULAZIONE BUSTA B,SIMB43,La mio fascia è distribuita in:,Zone limitate del corpo,Una serie di fasce segmentate,Una rete ubiquitaria ,,Una rete ubiquitaria 
SIMULAZIONE BUSTA B,SIMB44,Nella sede di un ematoma muscolare il massaggio è:,Indicato,Controindicato,Dipende dal caso ,,Controindicato
SIMULAZIONE BUSTA B,SIMB45,Il massaggio miofasciale migliora:,La postura,La cellulite,Il tono della pelle ,,La postura
SIMULAZIONE BUSTA B,SIMB46,Le manovre del miofasciale:,Seguono un ordine sequenziale,Non hanno una sequenza,Si effettuano liberamente ,,Seguono un ordine sequenziale
SIMULAZIONE BUSTA B,SIMB47,Le funzioni delle frizioni sono:,Antalgiche,Stimolanti,Defibrosanti ,,Defibrosanti 
SIMULAZIONE BUSTA B,SIMB48,In caso in cui l'atleta nonostante il massaggio continui a avere dolore,Deve rinunciare alla competizione,Occorre mandarlo dal medico sociale per la decisione finale,Può cominciare la competizione ed al limite si ritira ,,Occorre mandarlo dal medico sociale per la decisione finale
SIMULAZIONE BUSTA B,SIMB49,Quanto dura un massaggio post gara?,Tra i 15 e i 20 minuti,Tra i 50 ed i 70 minuti,Tra i 40 e 50 minuti,,Tra i 40 e 50 minuti
SIMULAZIONE BUSTA B,SIMB50,Cosa sono i distretti secondari di lavoro:,Sono le zone che compartecipano all'azione dei muscoli primari,Sono le zone che si attivano secondariamente all'azione dei muscoli,Sono le zone sottoposte al lavoro primario durante lo sforzo sportivo ,,Sono le zone che compartecipano all'azione dei muscoli primari